               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  90,            0.020813,            0.015835,           0.0010983,             0.92488,              0.8909,             0.92582,             0.66715,            0.023736,            0.020122,           0.0017758,            0.007063,            0.007063,            0.007063
                  91,            0.020443,            0.015695,            0.001062,             0.93079,             0.88299,              0.9279,             0.66818,            0.023706,            0.020062,           0.0016718,             0.00703,             0.00703,             0.00703
                  92,            0.020491,            0.015732,           0.0010136,             0.92901,             0.88286,             0.92609,              0.6692,            0.023639,            0.019827,           0.0017506,            0.006997,            0.006997,            0.006997
                  93,            0.020306,            0.015543,           0.0010538,             0.92691,             0.87726,             0.91529,              0.6605,            0.023859,            0.020111,           0.0018137,            0.006964,            0.006964,            0.006964
                  94,            0.020228,             0.01565,           0.0010265,             0.94028,             0.87611,              0.9203,             0.66623,            0.023655,            0.019743,           0.0017772,            0.006931,            0.006931,            0.006931
                  95,             0.02024,            0.015597,          0.00095832,             0.93043,              0.8848,             0.92418,             0.67086,            0.023648,            0.019877,            0.001803,            0.006898,            0.006898,            0.006898
                  96,            0.020075,            0.015582,           0.0010369,              0.9296,               0.884,              0.9184,             0.66659,            0.023709,            0.020126,            0.001846,            0.006865,            0.006865,            0.006865
                  97,            0.020172,            0.015236,           0.0010238,             0.92061,             0.88912,             0.91959,             0.67055,            0.023594,             0.02019,           0.0018799,            0.006832,            0.006832,            0.006832
                  98,            0.020266,            0.015613,           0.0010684,              0.9177,             0.88714,             0.91698,             0.66785,            0.023469,            0.019912,           0.0017458,            0.006799,            0.006799,            0.006799
                  99,            0.020142,            0.015719,           0.0010165,             0.92791,             0.87656,             0.91508,              0.6661,            0.023889,            0.020091,           0.0018427,            0.006766,            0.006766,            0.006766
                 100,            0.019869,            0.015438,           0.0010344,              0.9268,             0.86967,             0.91078,             0.66644,            0.023679,            0.020332,           0.0018548,            0.006733,            0.006733,            0.006733
                 101,            0.020014,            0.015278,            0.001003,             0.92823,             0.87696,             0.91565,             0.67023,            0.023646,             0.02034,           0.0017689,              0.0067,              0.0067,              0.0067
                 102,             0.01996,            0.015375,           0.0010133,             0.92504,             0.87842,              0.9178,             0.66768,            0.023741,            0.020374,            0.001729,            0.006667,            0.006667,            0.006667
